Symbol,LTP,BidPrice,BidQty,AskPrice,AskQty,TotalBuyQty,TotalSellQty,LiquidityScore,SMMA20,SMMA120,Signal,Current_LTQ,LTQ_2min_avg,LTQ_5min_avg,LTQ_Spike_Ratio,ETQ_5min,ETQ_20min,ETQ_60min,Average_LTP_20min,Average_LTP_60min,BidAsk_Imbalance,Volume,Return_1,Return_5,ML_Probability,ML_Confidence,ML_Decision,AI_Reason,base_symbol,token,symbol,name,exch_seg
NSE:TRIVENI-EQ,242.11,242.11,8,242.25,206,62383,135242,197625,241.39,240.3,NONE,9,9.0,9.0,1.0,9,9,9,242.11,242.11,-0.9252,363254,0,0,0.5263,52.63,ACCEPT,No new SMMA crossover,TRIVENI,13081,TRIVENI-EQ,TRIVENI,NSE
NSE:ENGINERSIN-EQ,241.5,241.32,120,241.51,145,131488,775104,906592,242.2,242.93,NONE,18,18.0,18.0,1.0,18,18,18,241.5,241.5,-0.0943,596558,0,0,0.4331,43.31,AVOID,No new SMMA crossover,ENGINERSIN,4907,ENGINERSIN-EQ,ENGINERSIN,NSE
NSE:EPACKPEB-EQ,240.0,240.0,458,240.05,1,82507,162104,244611,241.38,247.33,NONE,1,1.0,1.0,1.0,1,1,1,240.0,240.0,0.9956,454338,0,0,0.6674,66.74,ACCEPT,No new SMMA crossover,EPACKPEB,759251,EPACKPEB-EQ,EPACKPEB,NSE
NSE:ONGC-EQ,239.11,239.11,153,239.15,3490,1094969,1446212,2541181,239.36,239.7,NONE,10,10.0,10.0,1.0,10,10,10,239.11,239.11,-0.916,5554797,0,0,0.2058,20.58,AVOID,No new SMMA crossover,ONGC,2475,ONGC-EQ,ONGC,NSE
NSE:BECTORFOOD-EQ,237.51,237.55,1,237.72,192,151255,302510,453765,236.76,231.54,NONE,21,21.0,21.0,1.0,21,21,21,237.51,237.51,-0.9896,1156432,0,0,0.2895,28.95,AVOID,No new SMMA crossover,BECTORFOOD,1628,BECTORFOOD-EQ,BECTORFOOD,NSE
NSE:AEQUS-EQ,237.11,237.0,214,237.14,11,200115,522180,722295,237.38,241.86,NONE,50,50.0,50.0,1.0,50,50,50,237.11,237.11,0.9022,976951,0,0,0.6342,63.42,ACCEPT,No new SMMA crossover,AEQUS,760234,AEQUS-EQ,AEQUS,NSE
NSE:BHARATSE-EQ,237.1,237.1,60,237.2,8567,49381,166766,216147,238.97,236.3,NONE,2,2.0,2.0,1.0,2,2,2,237.1,237.1,-0.9861,516948,0,0,0.1079,10.79,AVOID,No new SMMA crossover,BHARATSE,30244,BHARATSE-EQ,BHARATSE,NSE
NSE:GANDHAR-EQ,236.85,236.7,39,236.86,46,89581,267455,357036,238.19,240.24,NONE,50,50.0,50.0,1.0,50,50,50,236.85,236.85,-0.0824,560900,0,0,0.5681,56.81,ACCEPT,No new SMMA crossover,GANDHAR,20303,GANDHAR-EQ,GANDHAR,NSE
NSE:ESILVER-EQ,234.58,234.59,11,234.84,7,117592,42673,160265,233.39,230.57,NONE,10,10.0,10.0,1.0,10,10,10,234.58,234.58,0.2222,25262,0,0,0.6969,69.69,ACCEPT,No new SMMA crossover,ESILVER,20257,ESILVER-EQ,ESILVER,NSE
NSE:SILVER-EQ,234.54,234.53,124,234.55,1099,398411,348784,747195,233.43,230.66,NONE,4,4.0,4.0,1.0,4,4,4,234.54,234.54,-0.7972,511685,0,0,0.1595,15.95,AVOID,No new SMMA crossover,SILVER,8003,SILVER-EQ,SILVER,NSE
NSE:WALCHANNAG-EQ,233.68,233.65,45,233.82,29,80889,352064,432953,234.68,234.6,NONE,3,3.0,3.0,1.0,3,3,3,233.68,233.68,0.2162,942895,0,0,0.4404,44.04,AVOID,No new SMMA crossover,WALCHANNAG,3736,WALCHANNAG-EQ,WALCHANNAG,NSE
NSE:GPIL-EQ,233.67,233.6,1006,233.67,55,220795,296686,517481,231.71,235.51,NONE,45,45.0,45.0,1.0,45,45,45,233.67,233.67,0.8963,1155960,0,0,0.3038,30.38,AVOID,No new SMMA crossover,GPIL,13409,GPIL-EQ,GPIL,NSE
NSE:MOSILVER-EQ,231.85,231.88,4,232.04,1,378932,58704,437636,230.96,228.3,NONE,1,1.0,1.0,1.0,1,1,1,231.85,231.85,0.6,43068,0,0,0.7695,76.95,ACCEPT,No new SMMA crossover,MOSILVER,758457,MOSILVER-EQ,MOSILVER,NSE
NSE:SHRINGARMS-EQ,231.44,231.49,87,231.8,43,732919,122034,854953,232.75,234.61,NONE,4,4.0,4.0,1.0,4,4,4,231.44,231.44,0.3385,313058,0,0,0.5142,51.42,ACCEPT,No new SMMA crossover,SHRINGARMS,759093,SHRINGARMS-EQ,SHRINGARMS,NSE
NSE:SILVER360-EQ,231.2,230.88,26,231.14,2,102789,43618,146407,229.88,227.04,NONE,23,23.0,23.0,1.0,23,23,23,231.2,231.2,0.8571,42323,0,0,0.6711,67.11,ACCEPT,No new SMMA crossover,SILVER360,756150,SILVER360-EQ,SILVER360,NSE
NSE:SBISILVER-EQ,230.21,230.15,1407,230.2,35,467266,372729,839995,229.07,226.37,NONE,15,15.0,15.0,1.0,15,15,15,230.21,230.21,0.9515,518657,0,0,0.5338,53.38,ACCEPT,No new SMMA crossover,SBISILVER,24366,SBISILVER-EQ,SBISILVER,NSE
NSE:SURYAROSNI-EQ,229.35,229.3,101,229.35,94,100186,311460,411646,232.19,242.2,NONE,9,9.0,9.0,1.0,9,9,9,229.35,229.35,0.0359,639166,0,0,0.4576,45.76,AVOID,No new SMMA crossover,SURYAROSNI,3375,SURYAROSNI-EQ,SURYAROSNI,NSE
NSE:SILVERAG-EQ,228.53,228.62,4,228.71,80,399981,318048,718029,227.58,224.91,NONE,115,115.0,115.0,1.0,115,115,115,228.53,228.53,-0.9048,98450,0,0,0.6673,66.73,ACCEPT,No new SMMA crossover,SILVERAG,16777,SILVERAG-EQ,SILVERAG,NSE
NSE:GOKULAGRO-EQ,228.23,228.0,24,228.24,6,288256,114805,403061,227.64,227.71,NONE,50,50.0,50.0,1.0,50,50,50,228.23,228.23,0.6,232494,0,0,0.7937,79.37,ACCEPT,No new SMMA crossover,GOKULAGRO,14480,GOKULAGRO-EQ,GOKULAGRO,NSE
NSE:CANTABIL-EQ,227.61,227.61,22,227.99,3,349783,81396,431179,228.31,230.5,NONE,9,9.0,9.0,1.0,9,9,9,227.61,227.61,0.76,41152,0,0,0.7066,70.66,ACCEPT,No new SMMA crossover,CANTABIL,20160,CANTABIL-EQ,CANTABIL,NSE
NSE:SILVERADD-EQ,226.58,226.52,25,226.56,10,429175,284484,713659,225.45,222.74,NONE,1,1.0,1.0,1.0,1,1,1,226.58,226.58,0.4286,70666,0,0,0.6912,69.12,ACCEPT,No new SMMA crossover,SILVERADD,10761,SILVERADD-EQ,SILVERADD,NSE
NSE:SHANTIGOLD-EQ,225.7,225.74,8,225.96,200,186180,144531,330711,225.2,224.77,NONE,11,11.0,11.0,1.0,11,11,11,225.7,225.7,-0.9231,916146,0,0,0.471,47.1,AVOID,No new SMMA crossover,SHANTIGOLD,758002,SHANTIGOLD-EQ,SHANTIGOLD,NSE
NSE:HDFCSILVER-EQ,224.7,224.71,127,224.75,3,526727,669274,1196001,223.63,221.0,NONE,115,115.0,115.0,1.0,115,115,115,224.7,224.7,0.9538,1344908,0,0,0.5524,55.24,ACCEPT,No new SMMA crossover,HDFCSILVER,10876,HDFCSILVER-EQ,HDFCSILVER,NSE
NSE:PNCINFRA-EQ,223.15,223.14,70,223.24,8,121155,155116,276271,222.19,224.53,NONE,15,15.0,15.0,1.0,15,15,15,223.15,223.15,0.7949,310154,0,0,0.6502,65.02,ACCEPT,No new SMMA crossover,PNCINFRA,9385,PNCINFRA-EQ,PNCINFRA,NSE
NSE:V2RETAIL-EQ,221.29,221.32,65,221.51,16,100997,194703,295700,222.12,220.71,NONE,1,1.0,1.0,1.0,1,1,1,221.29,221.29,0.6049,248020,0,0,0.6461,64.61,ACCEPT,No new SMMA crossover,V2RETAIL,14766,V2RETAIL-EQ,V2RETAIL,NSE
NSE:CAMPUS-EQ,217.69,217.6,14,217.7,1,104864,175141,280005,217.88,220.3,NONE,20,20.0,20.0,1.0,20,20,20,217.69,217.69,0.8667,281379,0,0,0.6767,67.67,ACCEPT,No new SMMA crossover,CAMPUS,9362,CAMPUS-EQ,CAMPUS,NSE
NSE:HFCL-EQ,217.49,217.44,37,217.49,2073,826923,3799131,4626054,216.84,212.94,NONE,250,250.0,250.0,1.0,250,250,250,217.49,217.49,-0.9649,12776845,0,0,0.273,27.3,AVOID,No new SMMA crossover,HFCL,21951,HFCL-EQ,HFCL,NSE
NSE:EPACK-EQ,216.81,216.62,57,216.81,54,148871,230174,379045,218.89,227.28,NONE,2,2.0,2.0,1.0,2,2,2,216.81,216.81,0.027,669603,0,0,0.3918,39.18,AVOID,No new SMMA crossover,EPACK,22463,EPACK-EQ,EPACK,NSE
NSE:PARAGMILK-EQ,216.5,216.5,185,216.61,19,63610,131680,195290,217.23,220.42,NONE,3,3.0,3.0,1.0,3,3,3,216.5,216.5,0.8137,114653,0,0,0.5256,52.56,ACCEPT,No new SMMA crossover,PARAGMILK,17130,PARAGMILK-EQ,PARAGMILK,NSE
NSE:MUTHOOTMF-EQ,214.96,214.83,35,214.96,88,69886,140222,210108,215.48,218.38,NONE,48,48.0,48.0,1.0,48,48,48,214.96,214.96,-0.4309,244074,0,0,0.5906,59.06,ACCEPT,No new SMMA crossover,MUTHOOTMF,20831,MUTHOOTMF-EQ,MUTHOOTMF,NSE
NSE:FIRSTCRY-EQ,214.5,214.35,94,214.5,4,79226,228933,308159,214.42,214.21,NONE,1,1.0,1.0,1.0,1,1,1,214.5,214.5,0.9184,165290,0,0,0.615,61.5,ACCEPT,No new SMMA crossover,FIRSTCRY,24814,FIRSTCRY-EQ,FIRSTCRY,NSE
NSE:IKIO-EQ,212.04,211.85,1,212.05,1,60102,179955,240057,210.15,203.79,NONE,1,1.0,1.0,1.0,1,1,1,212.04,212.04,0.0,350960,0,0,0.7557,75.57,ACCEPT,No new SMMA crossover,IKIO,16822,IKIO-EQ,IKIO,NSE
